Occasion,Outfit_Type,Color,Material,Pattern,Sleeve_Length,Neckline,Fit,Accessory,Brand
Casual,Suit,Orange,Denim,Polka Dot,Three-Quarter Sleeve,Off-Shoulder,Loose,Ring,Adidas
Sports,Jeans,Orange,Denim,Checked,Three-Quarter Sleeve,Round Neck,Slim,Watch,Puma
Formal,Skirt,Green,Denim,Checked,Long Sleeve,Round Neck,Loose,Hat,Prada
Casual,Skirt,Orange,Chiffon,Solid,Short Sleeve,Round Neck,Slim,Scarf,Levi's
Sports,Shorts,Blue,Polyester,Striped,Long Sleeve,V-Neck,Slim,Ring,H&M
Wedding,Blazer,Brown,Cotton,Striped,Long Sleeve,V-Neck,Slim,Belt,Levi's
Party,Suit,Green,Cotton,Striped,Long Sleeve,Off-Shoulder,Loose,Bracelet,H&M
Formal,Shorts,Yellow,Chiffon,Floral,Long Sleeve,Collared,Regular,Necklace,Gucci
Casual,Shorts,Black,Cotton,Checked,Sleeveless,Collared,Loose,Belt,Adidas
Business,Jumpsuit,Yellow,Linen,Abstract,Long Sleeve,Collared,Loose,Watch,Prada
Formal,Saree,Orange,Chiffon,Floral,Short Sleeve,Halter,Slim,Ring,Puma
Business,Jeans,Pink,Chiffon,Floral,Sleeveless,V-Neck,Loose,Earrings,Reebok
Casual,Shorts,Black,Chiffon,Abstract,Sleeveless,Round Neck,Loose,Necklace,Zara
Party,Skirt,Red,Cotton,Floral,Short Sleeve,Round Neck,Tailored,Earrings,Levi's
Party,Saree,White,Leather,Solid,Three-Quarter Sleeve,Halter,Tailored,Watch,Reebok
Casual,Saree,Orange,Linen,Striped,Sleeveless,Collared,Loose,Earrings,Reebok
Party,Saree,Purple,Polyester,Striped,Long Sleeve,Collared,Slim,Hat,Zara
Formal,T-shirt,Green,Chiffon,Checked,Three-Quarter Sleeve,Collared,Slim,Belt,Levi's
Business,Skirt,Purple,Leather,Floral,Short Sleeve,Halter,Tailored,Ring,Levi's
Wedding,Dress,Brown,Linen,Abstract,Long Sleeve,Collared,Regular,Scarf,Zara
Formal,Jeans,Blue,Chiffon,Floral,Short Sleeve,Round Neck,Tailored,Bracelet,Levi's
Formal,Dress,Red,Wool,Striped,Long Sleeve,V-Neck,Tailored,Earrings,H&M
Wedding,Jeans,Black,Denim,Floral,Short Sleeve,Collared,Tailored,Necklace,Gucci
Party,Sportswear,Red,Silk,Striped,Three-Quarter Sleeve,Collared,Loose,Ring,Prada
Wedding,Saree,Black,Linen,Checked,Short Sleeve,Round Neck,Regular,Watch,Nike
Party,Jumpsuit,Green,Silk,Checked,Sleeveless,V-Neck,Tailored,Sunglasses,Adidas
Casual,Blazer,Blue,Cotton,Striped,Long Sleeve,Off-Shoulder,Regular,Sunglasses,Levi's
Casual,Dress,Orange,Wool,Abstract,Sleeveless,V-Neck,Tailored,Scarf,H&M
Business,Dress,Red,Silk,Polka Dot,Three-Quarter Sleeve,Halter,Slim,Scarf,Prada
Casual,Jumpsuit,White,Leather,Floral,Short Sleeve,Round Neck,Tailored,Bracelet,Adidas
Business,T-shirt,White,Silk,Polka Dot,Long Sleeve,Off-Shoulder,Tailored,Sunglasses,Adidas
Business,Suit,Orange,Chiffon,Solid,Three-Quarter Sleeve,V-Neck,Loose,Hat,Nike
Casual,Dress,White,Silk,Solid,Three-Quarter Sleeve,V-Neck,Slim,Sunglasses,Prada
Sports,Jumpsuit,Red,Denim,Striped,Three-Quarter Sleeve,Halter,Tailored,Belt,Adidas
Business,Jumpsuit,Yellow,Wool,Striped,Short Sleeve,Collared,Regular,Scarf,Adidas
Sports,Jumpsuit,Black,Chiffon,Abstract,Three-Quarter Sleeve,V-Neck,Slim,Scarf,Adidas
Party,Blazer,Pink,Leather,Abstract,Long Sleeve,Collared,Loose,Bracelet,Reebok
Business,T-shirt,Yellow,Chiffon,Floral,Three-Quarter Sleeve,Off-Shoulder,Regular,Belt,Levi's
Casual,Jeans,Red,Leather,Abstract,Long Sleeve,Collared,Tailored,Belt,Adidas
Business,Sportswear,Red,Chiffon,Striped,Short Sleeve,Off-Shoulder,Slim,Necklace,Reebok
Party,Skirt,Black,Cotton,Floral,Sleeveless,Round Neck,Regular,Watch,Reebok
Party,Jeans,Black,Wool,Abstract,Sleeveless,Round Neck,Tailored,Earrings,Nike
Business,Skirt,Red,Denim,Polka Dot,Long Sleeve,Collared,Regular,Ring,Prada
Party,Sportswear,Orange,Leather,Polka Dot,Short Sleeve,Collared,Regular,Hat,Levi's
Party,Jumpsuit,Green,Polyester,Solid,Sleeveless,Round Neck,Tailored,Necklace,H&M
Party,Blazer,Orange,Wool,Polka Dot,Short Sleeve,Collared,Slim,Hat,Gucci
Formal,Dress,Brown,Leather,Polka Dot,Three-Quarter Sleeve,Halter,Tailored,Scarf,Levi's
Wedding,Skirt,Brown,Chiffon,Checked,Long Sleeve,Collared,Tailored,Scarf,Prada
Business,T-shirt,White,Cotton,Solid,Long Sleeve,Halter,Regular,Bracelet,Reebok
Business,Dress,Brown,Wool,Checked,Sleeveless,Off-Shoulder,Loose,Earrings,Prada
Business,Jeans,Brown,Linen,Polka Dot,Short Sleeve,Off-Shoulder,Slim,Scarf,H&M
Business,Dress,Orange,Linen,Solid,Sleeveless,Off-Shoulder,Slim,Belt,Puma
